식품명,식품대분류,식품상세분류,1회제공량,내용량_단위,에너지(㎉),탄수화물(g),총당류(g),지방(g),리놀레산(18:2(n-6)c)(g),알파 리놀렌산(18:3(n-3))(g),EPA+DHA(g),단백질(g),수분(g),총 식이섬유(g),비타민 A(㎍),비타민 D3(㎍),비타민 E(㎎),비타민 C(㎎),비타민 B1(㎎),비타민 B2(㎎),나이아신(㎎),엽산(DFE)(㎍),비타민 B12(㎍),칼슘(㎎),인(㎎),나트륨(㎎),칼륨(㎎),마그네슘(㎎),철(㎎),철(㎍),아연(㎎),구리(㎎),망간(㎎),셀레늄(㎍)
돼지불고기,구이류,육류구이,200.0,g,449.57,8.1,9.26,33.15,4.77,0.24,0.17,29.71,125.92,2.34,52.33,0.0,1.71,5.23,0.88,0.83,7.03,43.47,1.08,28.43,314.24,625.15,677.87,45.55,1.76,0.0,4.45,0.14,0.25,18.55
등심스테이크,구이류,육류구이,200.0,g,388.0,0.28,0.0,16.13,0.85,0.03,0.0,60.44,120.85,2.41,45.38,0.0,1.34,0.78,0.0,0.4,0.0,19.07,5.14,11.55,455.97,268.07,663.37,50.42,5.16,0.0,20.27,0.13,0.04,66.32
런천미트구이,구이류,육류구이,160.0,g,484.35,5.23,2.73,39.01,4.41,0.26,0.17,28.09,82.22,3.71,8.99,0.0,0.61,23.11,0.74,0.12,23.61,17.96,0.78,50.44,449.01,1526.0,654.88,37.47,0.87,0.0,2.4,0.11,0.1,47.92
뱅어포구이,구이류,어패류구이,70.0,g,262.0,17.55,11.14,10.62,2.98,0.07,0.84,24.06,12.9,5.3,460.54999999999995,7.14,3.8,0.0,0.3,0.08,0.0,28.85,3.43,726.76,588.42,1035.38,256.37,78.41,1.48,0.0,2.72,0.12,0.54,91.99
버섯구이,구이류,채소류구이,80.0,g,41.71,3.82,0.09,1.1,1.01,0.06,0.0,4.13,69.24,2.91,0.0,0.0,0.79,0.0,0.0,0.37,1.33,22.46,0.0,1.64,113.76,393.24,319.21,10.91,0.58,0.0,1.44,0.35,0.07,11.1
삼겹살고추장구이,구이류,육류구이,200.0,g,805.66,25.25,11.45,65.66,9.2,0.43,0.39,28.42,76.36,8.14,508.05,0.0,2.13,1.81,1.41,0.31,32.69,13.69,1.13,28.59,394.46,1020.67,741.4,62.43,1.92,0.0,4.28,0.13,0.56,59.61
삽겹살,구이류,육류구이,200.0,g,933.52,0.69,0.0,83.37,9.78,0.32,0.36,45.11,66.04,1.45,9.9,0.0,1.2,3.34,1.82,0.76,10.21,17.64,0.61,17.74,404.99,1152.79,740.87,43.29,1.38,0.0,5.49,0.16,5.49,36.64
삼치구이,구이류,어패류구이,200.0,g,355.16,2.89,0.43,19.14,0.74,0.09,2.19,42.83,132.37,2.78,342.63,11.39,3.5799999999999996,0.0,0.23,0.27,0.0,50.21,8.6,35.65,318.66,434.32,440.38,58.03,3.8,0.0,7.23,0.33,0.26,23.23
새송이버섯구이,구이류,채소류구이,80.0,g,66.92,9.33,3.63,1.77,0.95,0.08,0.0,3.43,63.83,4.59,0.0,0.0,2.1199999999999997,0.0,0.0,0.32,1.71,30.7,0.0,0.79,105.9,370.78,299.12,13.9,0.48,0.0,0.94,0.07,0.09,8.58
새우구이,구이류,어패류구이,180.0,g,260.76,5.07,0.06,7.99,3.35,0.33,0.16,42.13,121.48,3.76,0.0,0.0,7.890000000000001,5.56,0.0,0.19,0.0,21.46,2.7,148.2,434.16,593.55,574.59,99.65,0.79,0.0,4.58,2.87,0.02,59.05
쇠갈비구이,구이류,육류구이,300.0,g,722.95,4.76,0.78,43.66,2.38,0.19,0.0,77.73,168.33,5.35,122.63,0.0,9.99,2.6,0.0,1.54,9.37,39.73,6.61,101.23,537.4,1204.66,819.57,71.28,11.77,0.0,24.64,0.24,0.56,88.25
쇠곱창구이,구이류,육류구이,150.0,g,275.96,7.07,1.67,17.59,0.99,0.04,0.02,22.33,97.23,3.19,226.51,0.0,1.3,0.28,1.38,0.45,0.47,95.67,14.86,43.97,247.13,1971.87,408.59,34.77,2.26,0.0,2.92,0.39,0.4,35.68
쇠불고기,구이류,육류구이,200.0,g,339.22,8.51,6.48,19.32,2.98,0.33,0.01,32.82,135.81,7.07,386.19,0.0,2.43,8.7,0.19,0.4,21.35,36.52,3.4,37.46,306.4,835.81,617.28,45.12,4.59,0.0,9.33,0.21,0.35,42.17
안심스테이크,구이류,육류구이,200.0,g,366.42,0.25,0.0,9.65,1.18,0.02,0.0,69.63,117.79,3.75,147.97,0.0,3.47,0.0,2.11,0.57,5.51,30.56,6.08,9.36,525.34,205.42,770.44,55.4,4.98,0.0,6.52,0.25,0.05,89.66
